,1,2,3,4,5,6,7,8,9,10,11,12
A,1;1;H56;H2O,1;1;H56;H2O,1;1;H56;H2O,1;1;H56;IPTG,1;1;H56;IPTG,1;1;H56;IPTG,2;1;H69;H2O,2;1;H69;H2O,2;1;H69;H2O,2;1;H69;IPTG,2;1;H69;IPTG,2;1;H69;IPTG
B,1;2;H56;H2O,1;2;H56;H2O,1;2;H56;H2O,1;2;H56;IPGT,1;2;H56;IPGT,1;2;H56;IPGT,2;2;H69;H2O,2;2;H69;H2O,2;2;H69;H2O,2;2;H69;IPTG,2;2;H69;IPTG,2;2;H69;IPTG
C,1;1;H56;T56;H2O,1;1;H56;T56;H2O,1;1;H56;T56;H2O,1;1;H56;T56;IPTG,1;1;H56;T56;IPTG,1;1;H56;T56;IPTG,2;1;H69;T56;H2O,2;1;H69;T56;H2O,2;1;H69;T56;H2O,2;1;H69;T56;IPTG,2;1;H69;T56;IPTG,2;1;H69;T56;IPTG
D,1;2;H56;T56;H2O,1;2;H56;T56;H2O,1;2;H56;T56;H2O,1;2;H56;T56;IPTG,1;2;H56;T56;IPTG,1;2;H56;T56;IPTG,2;2;H69;T56;H2O,2;2;H69;T56;H2O,2;2;H69;T56;H2O,2;2;H69;T56;IPTG,2;2;H69;T56;IPTG,2;2;H69;T56;IPTG
E,1;1;H56;T117;H2O,1;1;H56;T117;H2O,1;1;H56;T117;H2O,1;1;H56;T117;IPTG,1;1;H56;T117;IPTG,1;1;H56;T117;IPTG,2;1;H69;T69;H2O,2;1;H69;T69;H2O,2;1;H69;T69;H2O,2;1;H69;T69;IPTG,2;1;H69;T69;IPTG,2;1;H69;T69;IPTG
F,1;2;H56;T117;H2O,1;2;H56;T117;H2O,1;2;H56;T117;H2O,1;2;H56;T117;IPTG,1;2;H56;T117;IPTG,1;2;H56;T117;IPTG,2;2;H69;T69;H2O,2;2;H69;T69;H2O,2;2;H69;T69;H2O,2;2;H69;T69;IPTG,2;2;H69;T69;IPTG,2;2;H69;T69;IPTG
G,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB
H,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,3;1;T69;H96;H2O,3;1;T69;H96;H2O,3;1;T69;H96;H2O,3;1;T69;H96;IPTG,3;1;T69;H96;IPTG,3;1;T69;H96;IPTG,4;1;T96;H117;H2O,4;1;T96;H117;H2O,4;1;T96;H117;H2O,4;1;T96;H117;IPTG,4;1;T96;H117;IPTG,4;1;T96;H117;IPTG
B,3;2;T69;H96;H2O,3;2;T69;H96;H2O,3;2;T69;H96;H2O,3;2;T69;H96;IPTG,3;2;T69;H96;IPTG,3;2;T69;H96;IPTG,4;2;T96;H117;H2O,4;2;T96;H117;H2O,4;2;T96;H117;H2O,4;2;T96;H117;IPTG,4;2;T96;H117;IPTG,4;2;T96;H117;IPTG
C,3;1;T96;H96;H2O,3;1;T96;H96;H2O,3;1;T96;H96;H2O,3;1;T96;H96;IPTG,3;1;T96;H96;IPTG,3;1;T96;H96;IPTG,4;1;T117;H117;H2O,4;1;T117;H117;H2O,4;1;T117;H117;H2O,4;1;T117;H117;IPTG,4;1;T117;H117;IPTG,4;1;T117;H117;IPTG
D,3;2;T96;H96;H2O,3;2;T96;H96;H2O,3;2;T96;H96;H2O,3;2;T96;H96;IPTG,3;2;T96;H96;IPTG,3;2;T96;H96;IPTG,4;2;T117;H117;H2O,4;2;T117;H117;H2O,4;2;T117;H117;H2O,4;2;T117;H117;IPTG,4;2;T117;H117;IPTG,4;2;T117;H117;IPTG
E,3;1;H96;H2O,3;1;H96;H2O,3;1;H96;H2O,3;1;H96;IPTG,3;1;H96;IPTG,3;1;H96;IPTG,4;1;H117;H2O,4;1;H117;H2O,4;1;H117;H2O,4;1;H117;IPTG,4;1;H117;IPTG,4;1;H117;IPTG
F,3;2;H96;H2O,3;2;H96;H2O,3;2;H96;H2O,3;2;H96;IPTG,3;2;H96;IPTG,3;2;H96;IPTG,4;2;H117;H2O,4;2;H117;H2O,4;2;H117;H2O,4;2;H117;IPTG,4;2;H117;IPTG,4;2;H117;IPTG
G,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB
H,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,H56,,,,,,,,,,,
,H56_T56,,,,,,,,,,,
,H56_T117,,,,,,,,,,,